genelist,Ensembl.ID
ACTR6,ENSG00000075089
ACTR8,ENSG00000113812
ACTRT2,ENSG00000169717
ACVR1,ENSG00000115170
ACVR1B,ENSG00000135503
ACVR1C,ENSG00000123612
ACVR2A,ENSG00000121989
ACVR2B-AS1,ENSG00000229589
ACY1,ENSG00000243989
ACY3,ENSG00000132744
ACYP2,ENSG00000170634
ADA,ENSG00000196839
ADA2,ENSG00000093072
ADAD2,ENSG00000140955
ADAL,ENSG00000168803
ADAM11,ENSG00000073670
ADAM12,ENSG00000148848
ADAM15,ENSG00000143537
ADAM18,ENSG00000168619
ADAM19,ENSG00000135074
ADAM1B,ENSG00000226469
ADAM2,ENSG00000104755
ADAM20,ENSG00000134007
ADAM20P1,ENSG00000259158
ADAM20P2,ENSG00000248574
ADAM20P3,ENSG00000249162
ADAM21,ENSG00000139985
ADAM21P1,ENSG00000235812
ADAM22,ENSG00000008277
ADAM23,ENSG00000114948
ADAM29,ENSG00000168594
ADAM32,ENSG00000197140
ADAM3A,ENSG00000197475
ADAM3B,ENSG00000260089
ADAM5,ENSG00000196115
ADAM6,ENSG00000271968
ADAM7,ENSG00000069206
ADAM8,ENSG00000151651
ADAM9,ENSG00000168615
ADAMTS1,ENSG00000154734
ADAMTS12,ENSG00000151388
ADAMTS13,ENSG00000160323
ADAMTS14,ENSG00000138316
ADAMTS15,ENSG00000166106
ADAMTS17,ENSG00000140470
ADAMTS18,ENSG00000140873
ADAMTS19,ENSG00000145808
ADAMTS19-AS1,ENSG00000249421
ADAMTS2,ENSG00000087116
ADAMTS20,ENSG00000173157
ADAMTS3,ENSG00000156140
ADAMTS4,ENSG00000158859
ADAMTS6,ENSG00000049192
ADAMTS7P1,ENSG00000274376
ADAMTS7P4,ENSG00000218052
ADAMTS8,ENSG00000134917
ADAMTS9,ENSG00000163638
ADAMTS9-AS1,ENSG00000241158
ADAMTS9-AS2,ENSG00000241684
ADAMTSL1,ENSG00000178031
ADAMTSL3,ENSG00000156218
ADAMTSL4-AS1,ENSG00000203804
ADAMTSL4-AS2,ENSG00000237781
ADAMTSL5,ENSG00000185761
ADAP1,ENSG00000105963
ADAP2,ENSG00000184060
ADAR,ENSG00000160710
ADARB1,ENSG00000197381
ADARB2,ENSG00000185736
ADARB2-AS1,ENSG00000205696
ADAT1,ENSG00000065457
ADAT2,ENSG00000189007
ADAT3,ENSG00000213638
ADCK1,ENSG00000063761
ADCK2,ENSG00000133597
ADCK5,ENSG00000173137
ADCY1,ENSG00000164742
ADCY10,ENSG00000143199
ADCY10P1,ENSG00000161912
ADCY2,ENSG00000078295
ADCY3,ENSG00000138031
ADCY4,ENSG00000129467
ADCY5,ENSG00000173175
ADCY6,ENSG00000174233
ADCY6-DT,ENSG00000257660
ADCY8,ENSG00000155897
ADCY9,ENSG00000162104
ADCYAP1,ENSG00000141433
ADCYAP1R1,ENSG00000078549
ADD1,ENSG00000087274
ADD2,ENSG00000075340
ADD3,ENSG00000148700
ADD3-AS1,ENSG00000203876
ADGB,ENSG00000118492
ADGRA1-AS1,ENSG00000256925
ADGRA2,ENSG00000020181
ADGRA3,ENSG00000152990
ADGRB1,ENSG00000181790
ADGRB2,ENSG00000121753
ADGRD1,ENSG00000111452
ADGRD1-AS1,ENSG00000256151
ADGRD2,ENSG00000180264
ADGRE3,ENSG00000131355
ADGRE4P,ENSG00000268758
ADGRE5,ENSG00000123146
ADGRF2,ENSG00000164393
ADGRF3,ENSG00000173567
ADGRF5,ENSG00000069122
ADGRF5-AS1,ENSG00000225730
ADGRF5P1,ENSG00000227582
ADGRG2,ENSG00000173698
ADGRG3,ENSG00000182885
ADGRG6,ENSG00000112414
ADGRG7,ENSG00000144820
ADGRL1,ENSG00000072071
ADGRL2,ENSG00000117114
ADGRL3,ENSG00000150471
ADGRL3-AS1,ENSG00000248692
ADGRL4,ENSG00000162618
ADH1A,ENSG00000187758
ADH1C,ENSG00000248144
ADH4,ENSG00000198099
ADH5,ENSG00000197894
ADH5P2,ENSG00000232676
ADH5P4,ENSG00000233859
ADH6,ENSG00000172955
ADH7,ENSG00000196344
ADHFE1,ENSG00000147576
ADI1,ENSG00000182551
ADI1P1,ENSG00000235102
ADI1P2,ENSG00000250684
ADIPOQ,ENSG00000181092
ADIPOR1,ENSG00000159346
ADIRF,ENSG00000148671
ADIRF-AS1,ENSG00000272734
ADM,ENSG00000148926
ADM2,ENSG00000128165
ADNP,ENSG00000101126
ADNP-AS1,ENSG00000259456
ADNP2,ENSG00000101544
ADORA2A,ENSG00000128271
ADORA2A-AS1,ENSG00000178803
ADORA2B,ENSG00000170425
ADORA3,ENSG00000282608
ADPGK,ENSG00000159322
ADPGK-AS1,ENSG00000260898
ADPRH,ENSG00000144843
ADPRHL1,ENSG00000153531
ADPRM,ENSG00000170222
ADRA1A,ENSG00000120907
ADRA2B,ENSG00000274286
ADRA2C,ENSG00000184160
ADRB2,ENSG00000169252
ADRM1,ENSG00000130706
ADSS1,ENSG00000185100
AEBP1,ENSG00000106624
AEBP2,ENSG00000139154
AFAP1,ENSG00000196526
AFAP1-AS1,ENSG00000272620
AFAP1L1,ENSG00000157510
AFDN,ENSG00000130396
AFF1,ENSG00000172493
AFF2-IT1,ENSG00000223516
AFF4,ENSG00000072364
AFG3L2,ENSG00000141385
AFG3L2P1,ENSG00000253606
AFM,ENSG00000079557
AFMID,ENSG00000183077
AFTPH,ENSG00000119844
AGA,ENSG00000038002
AGAP1,ENSG00000157985
AGAP1-IT1,ENSG00000235529
AGAP10P,ENSG00000230869
AGAP12P,ENSG00000265018
AGAP14P,ENSG00000279058
AGAP2,ENSG00000135439
AGAP2-AS1,ENSG00000255737
AGAP3,ENSG00000133612
AGAP4,ENSG00000188234
AGAP5,ENSG00000172650
AGAP6,ENSG00000204149
AGAP9,ENSG00000204172
AGBL1,ENSG00000273540
AGBL2,ENSG00000165923
AGBL3,ENSG00000146856
AGBL4,ENSG00000186094
AGBL4-AS1,ENSG00000230114
AGBL4-IT1,ENSG00000225623
AGBL5,ENSG00000084693
AGBL5-IT1,ENSG00000229122
AGER,ENSG00000204305
AGFG1,ENSG00000173744
AGFG2,ENSG00000106351
AGGF1P1,ENSG00000214273
AGGF1P10,ENSG00000282968
AGGF1P2,ENSG00000233435
AGGF1P4,ENSG00000261689
AGGF1P5,ENSG00000260680
AGGF1P6,ENSG00000259836
AGGF1P7,ENSG00000260994
AGGF1P8,ENSG00000261752
AGGF1P9,ENSG00000260427
AGKP1,ENSG00000226555
AGMAT,ENSG00000116771
AGMO,ENSG00000187546
AGO2,ENSG00000123908
AGO3,ENSG00000126070
AGO4,ENSG00000134698
AGPAT1,ENSG00000204310
AGPAT2,ENSG00000169692
AGPAT3,ENSG00000160216
AGPAT4,ENSG00000026652
AGPAT5,ENSG00000155189
AGPS,ENSG00000018510
AGR2,ENSG00000106541
AGRN,ENSG00000188157
AGT,ENSG00000135744
AGTRAP,ENSG00000177674
AGXT,ENSG00000172482
AGXT2,ENSG00000113492
AHCTF1,ENSG00000153207
AHCY,ENSG00000101444
AHCYL1,ENSG00000168710
AHCYL2,ENSG00000158467
AHCYP3,ENSG00000233955
AHCYP5,ENSG00000213107
AHCYP7,ENSG00000259465
AHCYP8,ENSG00000242529
AHDC1,ENSG00000126705
AHNAK,ENSG00000124942
AHR,ENSG00000106546
AHSA1,ENSG00000100591
AHSA2P,ENSG00000173209
AICDA,ENSG00000111732
AIDA,ENSG00000186063
AIF1,ENSG00000204472
AIF1L,ENSG00000126878
AIFM1,ENSG00000156709
AIFM2,ENSG00000042286
AIFM3,ENSG00000183773
AIMP1,ENSG00000164022
AIMP1P1,ENSG00000234187
AIMP1P2,ENSG00000227177
AIMP2,ENSG00000106305
AIP,ENSG00000110711
AIPL1,ENSG00000129221
AIRE,ENSG00000160224
AIRN,ENSG00000268257
AJM1,ENSG00000232434
AK1,ENSG00000106992
AK2,ENSG00000004455
AK2P2,ENSG00000242272
AK3,ENSG00000147853
AK3P2,ENSG00000250115
AK3P3,ENSG00000230042
AK3P4,ENSG00000248722
AK3P5,ENSG00000228816
AK4,ENSG00000162433
AK4P1,ENSG00000263535
AK4P3,ENSG00000233381
AK4P4,ENSG00000223621
AK4P5,ENSG00000217377
AK4P6,ENSG00000235606
AK6,ENSG00000085231
AK6P2,ENSG00000257173
AK8,ENSG00000165695
AK9,ENSG00000155085
AKAIN1,ENSG00000231824
AKAP10,ENSG00000108599
AKAP13,ENSG00000170776
AKAP17A,ENSG00000197976
AKAP17BP,ENSG00000214992
AKAP4,ENSG00000147081
AKAP5,ENSG00000179841
AKAP6,ENSG00000151320
AKAP8L,ENSG00000011243
AKAP9,ENSG00000127914
AKIP1,ENSG00000166452
AKIRIN1,ENSG00000174574
AKIRIN1P1,ENSG00000257786
AKIRIN1P2,ENSG00000228125
AKIRIN2,ENSG00000135334
AKIRIN2P1,ENSG00000251482
AKNA,ENSG00000106948
AKR1A1,ENSG00000117448
AKR1B1,ENSG00000085662
AKR1B10,ENSG00000198074
AKR1B10P1,ENSG00000213606
AKR1B10P2,ENSG00000263355
AKR1B15,ENSG00000227471
AKR1B1P1,ENSG00000229991
AKR1B1P2,ENSG00000213452
AKR1B1P6,ENSG00000225212
AKR1B1P7,ENSG00000266899
AKR1B1P8,ENSG00000231371
AKR1C1,ENSG00000187134
AKR1C2,ENSG00000151632
AKR1C3,ENSG00000196139
AKR1C4,ENSG00000198610
AKR1C5P,ENSG00000225418
AKR1C8P,ENSG00000264006
AKR1D1P1,ENSG00000227776
AKR1E2,ENSG00000165568
AKR7A2,ENSG00000053371
AKR7A2P1,ENSG00000229020
AKR7L,ENSG00000211454
AKT1,ENSG00000142208
AKT3-IT1,ENSG00000228939
ALAS1,ENSG00000023330
ALCAM,ENSG00000170017
ALDH16A1,ENSG00000161618
ALDH18A1,ENSG00000059573
ALDH1A1,ENSG00000165092
ALDH1A3,ENSG00000184254
ALDH1B1,ENSG00000137124
ALDH1L1-AS1,ENSG00000250218
ALDH1L1-AS2,ENSG00000246022
ALDH2,ENSG00000111275
ALDH3A2,ENSG00000072210
ALDH4A1,ENSG00000159423
ALDH5A1,ENSG00000112294
ALDH7A1P1,ENSG00000251400
ALDH7A1P3,ENSG00000243853
ALDH7A1P4,ENSG00000234489
ALDH9A1,ENSG00000143149
ALDOAP2,ENSG00000214297
ALDOB,ENSG00000136872
ALG1,ENSG00000033011
ALG10,ENSG00000139133
ALG11,ENSG00000253710
ALG14-AS1,ENSG00000230427
ALG1L10P,ENSG00000254016
ALG1L11P,ENSG00000249889
ALG1L12P,ENSG00000250794
ALG1L13P,ENSG00000253981
ALG1L15P,ENSG00000242017
ALG1L2,ENSG00000251287
ALG1L3P,ENSG00000251087
ALG1L5P,ENSG00000226943
ALG1L6P,ENSG00000238278
ALG1L8P,ENSG00000227620
ALG2,ENSG00000119523
ALG3,ENSG00000214160
ALG5,ENSG00000120697
ALG6,ENSG00000088035
ALG8,ENSG00000159063
ALG9,ENSG00000086848
ALG9-IT1,ENSG00000254450
ALK,ENSG00000171094
ALKAL1,ENSG00000196711
ALKBH1,ENSG00000100601
ALKBH2,ENSG00000189046
ALKBH3,ENSG00000166199
ALKBH4,ENSG00000160993
ALKBH5,ENSG00000091542
ALKBH6,ENSG00000239382
ALKBH7,ENSG00000125652
ALKBH8,ENSG00000137760
ALMS1,ENSG00000116127
ALMS1-IT1,ENSG00000230002
ALMS1P1,ENSG00000163016
ALOX12,ENSG00000108839
ALOX12-AS1,ENSG00000215067
ALOX12B,ENSG00000179477
ALOX12P2,ENSG00000262943
ALOX15P1,ENSG00000274114
ALOX15P2,ENSG00000188101
ALOX5,ENSG00000012779
ALOXE3,ENSG00000179148
ALPG,ENSG00000163286
ALPI,ENSG00000163295
ALPK1,ENSG00000073331
ALPK3,ENSG00000136383
ALPL,ENSG00000162551
ALS2,ENSG00000003393
ALX3,ENSG00000156150
ALX4,ENSG00000052850
ALYREF,ENSG00000183684
AMBN,ENSG00000178522
AMBRA1,ENSG00000110497
AMD1P2,ENSG00000237801
AMD1P4,ENSG00000215124
AMDHD1,ENSG00000139344
AMDHD2,ENSG00000162066
AMELX,ENSG00000125363
AMELY,ENSG00000099721
AMER2,ENSG00000165566
AMER3,ENSG00000178171
AMH,ENSG00000104899
AMHR2,ENSG00000135409
AMIGO3,ENSG00000176020
AMMECR1,ENSG00000101935
AMMECR1-IT1,ENSG00000224142
AMN,ENSG00000166126
AMN1,ENSG00000151743
AMOT,ENSG00000126016
AMPD1,ENSG00000116748
AMPD2,ENSG00000116337
AMPD3,ENSG00000133805
AMPH,ENSG00000078053
AMT,ENSG00000145020
AMTN,ENSG00000187689
AMY1B,ENSG00000174876
AMY1C,ENSG00000187733
AMY2A,ENSG00000243480
AMY2B,ENSG00000240038
AMYP1,ENSG00000227408
AMZ1,ENSG00000174945
AMZ2P1,ENSG00000214174
AMZ2P2,ENSG00000219249
ANAPC1,ENSG00000153107
ANAPC10P1,ENSG00000213735
ANAPC13,ENSG00000129055
ANAPC16,ENSG00000166295
ANAPC4,ENSG00000053900
ANGPT2,ENSG00000091879
ANGPTL4,ENSG00000167772
ANGPTL5,ENSG00000187151
ANGPTL7,ENSG00000171819
ANGPTL8,ENSG00000130173
ANK1,ENSG00000029534
ANK2,ENSG00000145362
ANK3-DT,ENSG00000254271
ANKDD1A,ENSG00000166839
ANKDD1B,ENSG00000189045
ANKFN1,ENSG00000153930
ANKH,ENSG00000154122
ANKHD1,ENSG00000131503
ANKIB1,ENSG00000001629
ANKK1,ENSG00000170209
ANKLE2,ENSG00000176915
ANKMY2,ENSG00000106524
ANKRA2,ENSG00000164331
ANKRD1,ENSG00000148677
ANKRD10,ENSG00000088448
ANKRD11,ENSG00000167522
ANKRD12,ENSG00000101745
ANKRD13C,ENSG00000118454
ANKRD16,ENSG00000134461
ANKRD17,ENSG00000132466
ANKRD18B,ENSG00000230453
ANKRD18DP,ENSG00000226435
ANKRD18EP,ENSG00000217165
ANKRD2,ENSG00000165887
ANKRD20A1,ENSG00000260691
ANKRD20A10P,ENSG00000226695
ANKRD20A11P,ENSG00000215559
ANKRD20A18P,ENSG00000249493
ANKRD20A19P,ENSG00000196593
ANKRD20A21P,ENSG00000277112
ANKRD20A5P,ENSG00000186481
ANKRD20A6P,ENSG00000274502
ANKRD20A7P,ENSG00000236816
ANKRD22,ENSG00000152766
ANKRD23,ENSG00000163126
ANKRD26,ENSG00000107890
ANKRD26P1,ENSG00000261239
ANKRD26P3,ENSG00000237636
ANKRD26P4,ENSG00000229427
ANKRD27,ENSG00000105186
ANKRD28,ENSG00000206560
ANKRD29,ENSG00000154065
ANKRD30A,ENSG00000148513
ANKRD30BL,ENSG00000163046
ANKRD33,ENSG00000167612
ANKRD33B-AS1,ENSG00000250106
ANKRD34A,ENSG00000272031
ANKRD34C-AS1,ENSG00000259234
ANKRD36,ENSG00000135976
ANKRD36BP1,ENSG00000214262
ANKRD36BP2,ENSG00000230006
ANKRD36C,ENSG00000174501
ANKRD37,ENSG00000186352
ANKRD39,ENSG00000213337
ANKRD40CL,ENSG00000167117
ANKRD42,ENSG00000137494
ANKRD44,ENSG00000065413
ANKRD44-AS1,ENSG00000231621
ANKRD44-IT1,ENSG00000236977
ANKRD45,ENSG00000183831
ANKRD52,ENSG00000139645
ANKRD53,ENSG00000144031
ANKRD54P1,ENSG00000236442
ANKRD62,ENSG00000181626
ANKRD62P1,ENSG00000259271
ANKRD62P1-PARP4P3,ENSG00000189295
ANKRD63,ENSG00000230778
ANKRD65,ENSG00000235098
ANKRD7,ENSG00000106013
ANKRD9,ENSG00000156381
ANKS1A,ENSG00000064999
ANKS3,ENSG00000168096
ANKS4B,ENSG00000175311
ANKUB1,ENSG00000206199
ANKZF1,ENSG00000163516
ANO1,ENSG00000131620
ANO2,ENSG00000047617
ANO3-AS1,ENSG00000254819
ANO4,ENSG00000151572
ANO5,ENSG00000171714
ANO6,ENSG00000177119
ANO7L1,ENSG00000237276
ANO8,ENSG00000074855
ANOS1,ENSG00000011201
ANP32B,ENSG00000136938
ANP32BP1,ENSG00000259790
ANP32BP2,ENSG00000231801
ANP32BP3,ENSG00000259461
ANP32C,ENSG00000248546
ANP32D,ENSG00000139223
ANP32E,ENSG00000143401
ANPEP,ENSG00000166825
ANTXR1,ENSG00000169604
ANTXR2,ENSG00000163297
ANTXRL,ENSG00000274209
ANTXRLP1,ENSG00000263482
ANXA1,ENSG00000135046
ANXA10,ENSG00000109511
ANXA11,ENSG00000122359
ANXA13,ENSG00000104537
ANXA2,ENSG00000182718
ANXA2R,ENSG00000177721
ANXA5,ENSG00000164111
ANXA6,ENSG00000197043
ANXA7,ENSG00000138279
ANXA8,ENSG00000265190
ANXA8L1,ENSG00000264230
ANXA9,ENSG00000143412
AOAH,ENSG00000136250
AOAH-IT1,ENSG00000230539
AOC2,ENSG00000131480
AOC3,ENSG00000131471
AOPEP,ENSG00000148120
AOX1,ENSG00000138356
AOX2P,ENSG00000243478
AOX3P,ENSG00000244301
AP1AR,ENSG00000138660
AP1B1P1,ENSG00000234479
AP1G1,ENSG00000166747
AP1G2,ENSG00000213983
AP1M1,ENSG00000072958
AP1S2P1,ENSG00000226046
AP2A1,ENSG00000196961
AP2A2,ENSG00000183020
AP2B1,ENSG00000006125
AP2M1,ENSG00000161203
AP2S1,ENSG00000042753
AP3B2,ENSG00000103723
AP3D1,ENSG00000065000
AP3S1,ENSG00000177879
AP4B1,ENSG00000134262
AP4B1-AS1,ENSG00000226167
AP4S1,ENSG00000100478
AP5S1,ENSG00000125843
APAF1,ENSG00000120868
APBA1,ENSG00000107282
APBA2,ENSG00000034053
APBB1,ENSG00000166313
APBB1IP,ENSG00000077420
APBB2,ENSG00000163697
APBB3,ENSG00000113108
APC,ENSG00000134982
APC2,ENSG00000115266
APCDD1L-DT,ENSG00000231290
APCS,ENSG00000132703
APEH,ENSG00000164062
APELA,ENSG00000248329
APEX1,ENSG00000100823
APEX2,ENSG00000169188
APH1A,ENSG00000117362
APH1B,ENSG00000138613
API5P1,ENSG00000234558
API5P2,ENSG00000213962
APIP,ENSG00000149089
APLN,ENSG00000171388
APLNR,ENSG00000134817
APLP1,ENSG00000105290
APLP2,ENSG00000084234
APOA2,ENSG00000158874
APOA4,ENSG00000110244
APOB,ENSG00000084674
APOBEC1,ENSG00000111701
APOBEC3A,ENSG00000128383
APOBEC3AP1,ENSG00000248822
APOBEC3B,ENSG00000179750
APOBEC3C,ENSG00000244509
APOBEC3D,ENSG00000243811
APOBEC3F,ENSG00000128394
APOBEC3H,ENSG00000100298
APOC1,ENSG00000130208
APOC3,ENSG00000110245
APOD,ENSG00000189058
APOL1,ENSG00000100342
APOL4,ENSG00000100336
APOL5,ENSG00000128313
APOM,ENSG00000204444
APONP,ENSG00000274823
APOO,ENSG00000184831
APOOL,ENSG00000155008
APOOP1,ENSG00000270560
APOOP2,ENSG00000240902
APOOP3,ENSG00000255700
APPBP2,ENSG00000062725
APPL1,ENSG00000157500
APPL2,ENSG00000136044
APRT,ENSG00000198931
AQP10,ENSG00000143595
AQP12A,ENSG00000184945
AQP3,ENSG00000165272
AQP4,ENSG00000171885
AQP4-AS1,ENSG00000260372
AQP5,ENSG00000161798
AQP6,ENSG00000086159
AQP7P4,ENSG00000176115
AQP8,ENSG00000103375
AQP9,ENSG00000103569
AQR,ENSG00000021776
AR,ENSG00000169083
ARAF,ENSG00000078061
ARAFP2,ENSG00000224368
ARAFP3,ENSG00000227298
ARAP1-AS1,ENSG00000256007
ARAP3,ENSG00000120318
ARC,ENSG00000198576
ARCN1,ENSG00000095139
ARF1,ENSG00000143761
ARF1P1,ENSG00000219807
ARF1P2,ENSG00000213137
ARF4-AS1,ENSG00000272146
ARF4P1,ENSG00000271525
ARF4P2,ENSG00000236527
ARF4P3,ENSG00000214051
ARFGAP1,ENSG00000101199
ARFGAP2,ENSG00000149182
ARFGAP3,ENSG00000242247
ARFGEF1,ENSG00000066777
ARFGEF2,ENSG00000124198
ARFGEF3,ENSG00000112379
ARFIP1,ENSG00000164144
ARFIP2,ENSG00000132254
ARFRP1,ENSG00000101246
ARGFX,ENSG00000186103
ARGFXP1,ENSG00000240058
ARGFXP2,ENSG00000265293
ARGLU1,ENSG00000134884
ARHGAP1,ENSG00000175220
ARHGAP10,ENSG00000071205
ARHGAP11B,ENSG00000285077
ARHGAP12,ENSG00000165322
ARHGAP17,ENSG00000140750
ARHGAP18,ENSG00000146376
ARHGAP19,ENSG00000213390
ARHGAP21,ENSG00000107863
ARHGAP22-IT1,ENSG00000248682
ARHGAP23,ENSG00000275832
ARHGAP23P1,ENSG00000260781
ARHGAP24,ENSG00000138639
ARHGAP25,ENSG00000163219
ARHGAP26-IT1,ENSG00000230789
ARHGAP27,ENSG00000159314
ARHGAP27P2,ENSG00000267472
ARHGAP29-AS1,ENSG00000226835
ARHGAP31-AS1,ENSG00000241155
ARHGAP32,ENSG00000134909
ARHGAP33,ENSG00000004777
ARHGAP35,ENSG00000160007
ARHGAP36,ENSG00000147256
ARHGAP39,ENSG00000147799
ARHGAP4,ENSG00000089820
ARHGAP40,ENSG00000124143
ARHGAP42,ENSG00000165895
ARHGAP42P1,ENSG00000227817
ARHGAP42P2,ENSG00000231147
ARHGAP42P4,ENSG00000258080
ARHGAP42P5,ENSG00000258233
ARHGAP44,ENSG00000006740
ARHGAP5,ENSG00000100852
ARHGAP5-AS1,ENSG00000258655
